,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Senior Data Scientist,$86K-$137K (Glassdoor Est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Operators,Insurance,?500+ billion (INR),-1
1,RWD Healthcare Data Scientist,$86K-$137K (Glassdoor Est.),"Real World Data, Healthcare Data Scientist

Responsibilities
Conduct discussions with clients and internal stakeholders to understand business problems and use cases then formulate focused solutions
Extract and integrate results across disparate datasets
Augment internal data with third party sources of information when needed
Independently conduct analyses with a hands-on, detail-oriented approach
Lead and conduct Real World Evidence analyses which may include, but not limited to:
Longitudinal retrospective studies of existing databases to assess patient characteristics, treatment patterns, and associated clinical, economic and/or patient-reported outcomes
Retrospective or prospective evaluations of disease treatment patterns, outcomes including drug utilization and adherence;
Cross-sectional analyses of patients, caregivers, health care providers/practitioners, and/or payers;
Assessments exploring the burden of illness, patient preference and/or comparative effectiveness;
Models of cost-effectiveness; indirect treatment comparison models and methodologies
Data modeling using advanced methods in Machine Learning, Predictive Modeling
Socialize key insights through objective story-telling that brings meaningful and actionable context to drive more data-informed decision making
Qualifications
Master's/Bachelor's Degree in Analytics/Data Science/Statistics/Mathematics/Engineering/ Computer Science or related
5+ years of Analytics/modeling experience working with large, complex, and disparate datasets
3+ years of experience in a Healthcare organization such as Provider, Payer, and Pharmaceutical
Knowledge of Healthcare Real World Data including but not limited to Electronic Health Records, Medical and Pharmacy Claims, Pricing, Affiliation, and Formulary. Understanding of care and claims upstream processes.
Expert in complex data extraction using SQL
Data management and Predictive modeling/Machine learning using Python/R/SAS
Understanding of machine learning techniques and algorithms, such as GLM Models, Regularization, KNN, Naive Bayes, SVM, Decision Trees, Random Forest, etc.
Experience with at least one business intelligence/visualization tool such as Tableau, Domo
Analytic problem-solving skills with a creative and innovative outlook
Excellent communication (written and oral) including describing complex data topics in simple terms
Exceptional organizational, strategic thinking and problem-solving skills
Competency with Microsoft Office, particularly PowerPoint, Excel and Word
Ability to work well in a matrix driven organization
Background in epidemiology or biostatistics experience preferred but not required",4.1,"W2O
4.1","Florham Park, NJ","San Francisco, CA",201 to 500 employees,2001,Company - Private,Advertising & Marketing,Business Services,?10 to ?50 billion (INR),-1
2,Data Scientist,$86K-$137K (Glassdoor Est.),"TACG is a driven Alaskan Native 8(a) professional consulting firm, that focuses on employee growth in collaboration with client delivery. Our portfolio ranges from support work with Health and Human Services to highly skilled Defense consulting. We have recently been awarded as one of INC.5000's fastest growing companies and received multiple best places to work awards. How can you help shape TACG?
Position Summary:

TACG is looking for a Data Scientist to support the business in defining information/data requirements to allow for the design, development, testing/evaluation, implementation and sustainment of critical business applications and IT capabilities. The Data Scientist will provide technical expertise in Business Intelligence (BI) tools and programming languages to support data analytics, data visualizations, and predictive analysis.

Responsibilities:
Applies analytic methodologies and principles to address client needs.
Applies analytic techniques in the evaluation of project objectives and contributes to the implementation of strategic direction.
Performs analyst functions including data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Required Knowledge, Skills and Experience:
Excellent analytical skills
Experience using SQL, Python, and R languages for statistical analysis
Experience using Tableau Desktop, Prep Builder and Reader for the generation, sustainment and viewing of data visualization dashboards
Experience in ETL, specifically with data resident on SharePoint
3 years of experience with a Bachelor's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering; or, 1 year of experience with a Master's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering.
Education & Certification Requirements:
Four year degree or a Master's Degree in Computer Science, Business, Management or related field
Preferred Skills:
Creative thinker
Strong communication skills
Proficient in MS Office suite of tools, specifically MS Excel.
Excellent team skills.
Experience or understanding of AF or DoD processes, data and systems
Disclaimer:
The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
All work will be performed in an office environment.
Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee is frequently required to talk or hear. The employee is occasionally required to stand, walk; reach with hands and arms to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by the job include close vision.
Citizenship: United States
Security Clearance: NACI background will be required
Percent of Travel Required: Up to 10%
FLSA Status: Full-time, Exempt
Benefits:
We understand that our employees make us the great company we are, so we want to give back as much as possible. Whether it's our flexible wellness program that gives you the power to do what makes you happy or focusing on career development utilizing our tuition reimbursement, we're sure to have every benefit you're looking for, to also include; matching 401(k), Medical, Vision, and Dental Coverage and much more!

TACG is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.5,"TACG Solutions
4.5","Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Copper River Shared Services, Chenega Corporation, Deloitte"
3,Sr Data Scientist,$86K-$137K (Glassdoor Est.),"JOB DUTIES:Senior Data Scientist for Ecolab, Inc. at its facility in Naperville, IL. Actively engage with internal business stakeholders to understand business challenges and deliver robust, data driven solutions. Integrate inputs from subject matter experts with statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources. Validate proof of concept (POCs) by analyzing organizational data and present insights to determine the potential to be taken up as a full-scale funded analytics project. Collaborate closely with Business Partners/Analysts, Data Engineers, System Administrators and other Data Scientists to develop and integrate innovative AI/ML models into useable data products and services. Leverage open source tools like Python along with Microsoft Azure cloud based big data/AI environments to implement scalable predictive/prescriptive models. Present the results of your work to all levels within the organization, offering actionable real-time insights that have a measurable and ongoing impact on business. Partner with customers and leading digital companies to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

REQUIREMENTS: Masters degree in Data Science, Business Analytics, Math, Statistics or related field with an emphasis on analytics and four (4) years of experience working and participating on a cross functional project team, from inception to delivery. Experience must also include two (2) years of post-bachelors progressive experience in all of the following: Deliver data-driven solutions by applying problem-solving and analytics to business challenges; Articulate & present complex mathematical solutions in a simple manner that most will understand; Use statistics/analytics/visualization tools, including Microsoft Azure Suite, Azure ML, PowerBI, Python and SQL; Manipulate complex high-volume data from a variety of sources using statistical, mathematical, predictive modeling and business analysis.

EX: OUT

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.",3.6,"Ecolab
3.6","Naperville, IL","Saint Paul, MN",10000+ employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,?500+ billion (INR),-1
4,"Development Scientist I, Bioinformatics",$86K-$137K (Glassdoor Est.),"New England Biolabs is seeking a computational scientist to work collaboratively with bench scientists. Together we will build tools, analyze sequence results, and integrate data from instrumentation, ultimately producing high quality, rigorously tested, and provably excellent products.

NEB provides a world-class working environment including high quality computational infrastructure, skilled colleagues, frequent seminars from internal and external scientists, and opportunities to share your work internally and at conferences.

Required Qualifications and Experience:
Advanced degree in computational biology, bioinformatics or a molecular biology related field with significant data analysis experience. Computational training with significant biological experience is also acceptable.
Software development skills (Ruby, Python, Haskell, R, etc.)
Modern web development skills (HTML5, Rails, React, etc.)
Appreciation for simple, high quality, maintainable software
Demonstrated scientific communication skills
Strong work ethic, emphasizing both efficiency and quality of work
Accessible evidence of software development history (e.g. Github)
Preferred Qualifications and Experience:
Expertise with high volume sequence data analysis
Excellent verbal and written communication skills
Cluster computing
Publication of original scientific work in relevant journals

New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.

If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.9,"New England Biolabs
4.9","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina"
5,Data Analyst I,$86K-$137K (Glassdoor Est.),"The Data Analyst is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with it
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4,"Insight Enterprises, Inc.
4.0","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,?500+ billion (INR),"CDW, PCM, SHI International"
6,"Data Scientist - Statistics, Early Career",$86K-$137K (Glassdoor Est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",?50 to ?100 billion (INR),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
7,Scientist,$86K-$137K (Glassdoor Est.),"Karius is a venture-backed life science startup focused on transforming the way infectious diseases are diagnosed. Combining Next-Generation Sequencing and proprietary data analysis, we can identify over 1,000 pathogens from a single blood sample with typical turnaround time in one business day. By unlocking the information present in microbial cell-free DNA, we're helping doctors quickly solve their most challenging cases, with a future vision of accelerating clinical trials, discovering new microbes, and reducing patient suffering worldwide.
Position Summary
We are looking for an extraordinary scientist to develop NGS-based clinical diagnostic assays into robust clinical products. The ideal candidate will design and execute superior assay development plans, optimize assays for astounding efficiency and robustness, identify in-line quality control measures that ensure industry-leading data integrity. If you are highly experienced in developing novel diagnostic approaches for nucleic acid detection as well as assay optimization, have worked extensively with NGS workflows and are eager to do the best work of your life, we should talk!
Reports to Director, Research
Location Redwood City, CA
Responsibilities:
· Independently generate and evaluate new methods, technologies and processes.
· Design and execute experiments that ensure efficient and robust protocols
· Achieve an ideal balance of assay integrity and work-flow simplicity through clever in-line quality control measures and assay monitoring strategies
· Enable operational superiority through workflows compatible with automation
· Assist in the design and execution of analytical and clinical validation studies
· Act as a key contributor within integrated and multidisciplinary teams developing new and improving existing clinical assay.
· Create and maintain SOPs in the context of CLIA/CAP environment
· Perform calculations and data analysis
· Generate new IP to maintain Karius’ leadership position in the field of infectious disease diagnostics.
· Perform other duties, as needed
Travel: No travel required
Physical Requirements:
Subject to extended periods of sitting and/or standing, vision to monitor and moderate noise levels. Work is generally performed in an office, lab or clinical environment.
Position Requirements:
· PhD with minimum 5 years relevant experience building robust diagnostic products
· Demonstrated proficiency taking clinical diagnostic assays through research and development
· Experience with product development in CLIA/CAP or IVD environments
· Follow GLPs and SOPs, and adhere to all safety and company policies
· Expertise with RNA- and/or DNA-based Next-Generation Sequencing sample preparation technologies
Personal Qualifications:
· Must be an excellent communicator and able to summarize key findings, risks in a succinct manner including the ability to present information to stakeholders
· Ability to anticipate and identify potential roadblocks to meeting goals and identify corrective actions
· Display a high level of commitment and professionalism and is truly passionate about being at the cutting edge of science and generating the appropriate clinical evidence
· Ability to work independently, collaboratively and manage deadlines
· Exemplary project management skills with the ability to build schedules and mitigate against timeline delays
· Strong communication and presentation skills

At Karius, we value a diverse and inclusive workplace and provide equal employment opportunity for all applicants and employees and are committed to honor and invest in the full diversity of people, in our hiring, recruiting and development of employees across the Company. All qualified applicants for employment are encouraged to apply and will be considered without regard to an individual’s race, color, sex, gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application due to a disability, please contact us at recruiting@kariusdx.com and we will accommodate qualified individuals with disabilities.



At Karius, we value a diverse and inclusive workplace and provide equal employment opportunity for all applicants and employees and are committed to honor and invest in the full diversity of people, in our hiring, recruiting and development of employees across the Company. All qualified applicants for employment are encouraged to apply and will be considered without regard to an individual’s race, color, sex, gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application due to a disability, please contact us at recruiting@kariusdx.com and we will accommodate qualified individuals with disabilities.",2.3,"Karius
2.3","Redwood City, CA","Redwood City, CA",51 to 200 employees,2014,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
8,Data Scientist II (Miami),$86K-$137K (Glassdoor Est.),"OfferUp is dedicated to building the simplest and most trustworthy way for people to buy and sell in their communities. Every year, millions of people use OfferUp to buy and sell locally, resulting in billions of dollars of local commerce. As the largest mobile marketplace for local buyers and sellers in the U.S., our iOS and Android app has been in the top five most popular shopping apps lists for more than three years. Join us as we build the marketplace of the future and reinvent local commerce by helping consumers uncover value through simplicity and trust.

At a Glance
85M+ Downloads
Geekwire App of Year
15+ percent of adults in key markets like Los Angeles, Seattle, Miami and Las Vegas use OfferUp every month
About the role:

OfferUp is looking for a Data Scientist II to join our team. The right candidate will have a passion for manipulating and using new and existing data sources to help drive actionable recommendations. We seek to delight our users with the safest, simplest and most effective local marketplace app on the planet. Your role as a Data Scientist will be to research, design, implement and evaluate machine learning models and algorithms to make our products more intelligent.

Here's more of what you will get to do:
Design and measure experiments to test in various cross-functional areas to challenge hypotheses and come up with actionable recommendations.
Identify opportunities and drive results across the company in product search, personalization recommender, crime risk modeling, user reputation, etc.
Develop end-to-end experimentation-driven product improvements from conception/research, to offline testing, then live A/B testing and finally shipping to production.
Act as an analytics advisor to solve business problems using data.
Leverage the latest machine learning technologies to solve complex business problems.
You'll thrive in this role if you have:
4+ years of demonstrated experience with machine learning or data science
Expertise around programming languages such as Python or Java
Hands-on experience in predictive modeling and analyses to solve real business problems
Strong analysis, problem solving, data structures and algorithm development background
PhD or Master's Degree in Computer Science, Mathematics, Statistics or a technical related field
A passion for working with large data sets
Must be eligible to work in the United States
Helpful, but not required:
Experience working in e-commerce and mobile marketplaces
Experience integrating code into a live production environment
Some experience in some the following: entity extraction, semantics in text, image recognition, recommender systems, ranking, LDA, classification
OfferUp is changing the way people buy and sell locally and we've built a dynamic team to do it. To learn more about what it's like to work at OfferUp, check out our blog: https://blog.offerup.com/tagged/culture

OfferUp provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, OfferUp complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, transfer, leaves of absence, compensation, and training.

OfferUp expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of OfferUp's employees to perform their job duties may result in discipline up to and including discharge.",3.4,"OfferUp
3.4","Miami, FL","Bellevue, WA",201 to 500 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Letgo, 5miles, Facebook"
9,Data Scientist/Machine Learning,$86K-$137K (Glassdoor Est.),"PulsePoint™, a global programmatic advertising platform with specialized healthcare expertise, fuses the science of programmatic targeting, distribution, and optimization with the art of brand engagement. The PulsePoint platform is powered by terabytes of impression-level data, allowing brands to efficiently engage the right audiences at scale while helping publishers increase yield through actionable insights.

Our organization has a strong history of utilizing machine learning, contextualization, and targeting to distribute advertising to the right consumers at the right time and create real connections across the internet. We are now taking that knowledge and expertise to solve challenges within healthcare in order to create better health outcomes through Radical Health Personalization™.

The goals of the PulsePoint Data Science team:
Optimize and validate targeting mechanisms for specific health conditions;
Improve and optimize our proprietary contextualization and recommendation engines that handle millions of transactions per second, trillions each month;
Improve and optimize our buying platform to ensure cost efficiency and to deliver ad campaigns within budget, target and time constraints;
Collaborate with internal Health experts to design and support rapid assessment, analysis, and prototyping of ideas for achievable commercialization.
What you'll be working on:
Improve existing or develop new traffic segmentation algorithms and estimations of bid landscapes within each segment;
Optimize real-time bidding strategies to efficiently spend ad budgets delivering campaign targets given various constraints;
Support and enhance the existing work on health user profiling, prediction, and targeting tools;
Improve page contextualizer technology: work with healthcare topics detection algorithms, keywords/phrases extraction, general and aspect-based sentiment analysis;
Contribute on projects relating to patient/physician identity for cross-device tracking, profiling and targeting;
Support existing codebase for data integration and production support for our core models.



What you need to be successful in this role:
3+ years of full-time experience working as a Statistician/ Machine Learning
Engineer/ Data Scientist;
Advanced knowledge of Big Data technologies such as Hadoop, Hive/Impala and
Spark;
Advanced knowledge of Python using the numpy/scipy/pandas/sklearn stack;
Advanced knowledge of classical ML models (logistic regression, decision trees,
boosting, bagging, SVM, Bayesian methods, etc) and at least basic knowledge in
different Neural Network models (CNN, RNN, auto-encoders, transformers);
Being confident user of Unix-like systems, Dockers, git, bash;
MS/PhD in Applied Mathematics, Statistics, Machine Learning, Computer Science,
Physics; or BS with several years of applied machine learning experience

What we offer:
Sane work hours
Generous paid vacation/company holidays
Vacation reimbursement, sabbatical, pawternity leave, marriage leave, honeymoon bonus
Comprehensive healthcare with 100%-paid medical, vision, life & disability insurance
$2,000 annual training and development budget
Complimentary annual memberships to One Medical, NY Citi Bike and SF Ford GoBike
Monthly chair massages
Free fitness classes (spin, yoga, boxing)
Gym reimbursement, local gym membership discounts
Onsite flu shots, dental cleanings and vision exams
Annual company retreat
Paid parental leave and a lot of new parent perks
Emergency childcare credits
401(k) Match and free access to a financial advisor
Volunteer Time Off and Donation Matching, ongoing group volunteer opportunities
Team lunches, Sip & Social Thursdays, Game Nights, Movie Nights
Healthy snacks and drinks
And there's a lot more!",4.4,"PulsePoint
4.4","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,?10 to ?50 billion (INR),"Crossix Solutions Inc., AppNexus, The Trade Desk"
